image_id,operations
ISIC_0027419,Minimal Enhancement
ISIC_0025030,CLAHE
ISIC_0026769,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0025661,Brightness Correction
ISIC_0031633,"Hair Removal, Denoising"
ISIC_0027850,Minimal Enhancement
ISIC_0029176,CLAHE
ISIC_0029068,"Brightness Normalization, Minimal Enhancement"
ISIC_0025837,"Brightness Normalization, CLAHE"
ISIC_0025209,"Brightness Correction, Denoising"
ISIC_0025276,
ISIC_0029396,Minimal Enhancement
ISIC_0025984,Minimal Enhancement
ISIC_0025767,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0032417,"Hair Removal, Brightness Correction, Denoising"
ISIC_0031326,CLAHE
ISIC_0025915,"CLAHE, Denoising"
ISIC_0031029,"Brightness Correction, Denoising"
ISIC_0029836,CLAHE
ISIC_0032129,
ISIC_0032343,Brightness Correction
ISIC_0025033,"Hair Removal, Denoising"
ISIC_0027310,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0032128,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0025937,CLAHE
ISIC_0027828,"Brightness Normalization, CLAHE"
ISIC_0029291,"Brightness Normalization, Minimal Enhancement"
ISIC_0030698,"Hair Removal, Brightness Correction, Denoising"
ISIC_0025567,Minimal Enhancement
ISIC_0031753,"CLAHE, Minimal Enhancement"
ISIC_0026835,
ISIC_0031159,CLAHE
ISIC_0031017,CLAHE
ISIC_0024981,"Brightness Normalization, Minimal Enhancement"
ISIC_0027815,Minimal Enhancement
ISIC_0024324,Minimal Enhancement
ISIC_0029559,CLAHE
ISIC_0030661,Minimal Enhancement
ISIC_0027053,"Hair Removal, Minimal Enhancement"
ISIC_0028560,CLAHE
ISIC_0031650,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0029161,Minimal Enhancement
ISIC_0026273,"Brightness Correction, CLAHE, Denoising"
ISIC_0025076,"Brightness Correction, Minimal Enhancement"
ISIC_0029687,Minimal Enhancement
ISIC_0025642,Minimal Enhancement
ISIC_0025819,
ISIC_0032013,Minimal Enhancement
ISIC_0031691,"Brightness Normalization, CLAHE"
ISIC_0025419,Minimal Enhancement
ISIC_0030105,"Brightness Normalization, CLAHE"
ISIC_0025016,"CLAHE, Denoising"
ISIC_0029147,"Brightness Normalization, Minimal Enhancement"
ISIC_0029301,"Brightness Correction, Denoising"
ISIC_0026637,Minimal Enhancement
ISIC_0030377,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0027960,Brightness Correction
ISIC_0026955,Minimal Enhancement
ISIC_0028052,"CLAHE, Denoising"
ISIC_0025286,"Hair Removal, Brightness Correction, Denoising"
ISIC_0031468,"Brightness Normalization, Minimal Enhancement"
ISIC_0030926,Denoising
ISIC_0029288,"Hair Removal, Brightness Correction, Denoising"
ISIC_0031008,"Hair Removal, Denoising"
ISIC_0024698,Minimal Enhancement
ISIC_0031495,Minimal Enhancement
ISIC_0026104,Minimal Enhancement
ISIC_0025099,CLAHE
ISIC_0031485,"Hair Removal, Denoising"
ISIC_0029413,"Brightness Normalization, CLAHE"
ISIC_0029576,"CLAHE, Denoising"
ISIC_0031967,"Brightness Normalization, Minimal Enhancement"
ISIC_0031584,"Brightness Correction, CLAHE"
ISIC_0025140,"Brightness Normalization, Minimal Enhancement"
ISIC_0025554,"Brightness Normalization, Minimal Enhancement"
ISIC_0029289,"Brightness Correction, Minimal Enhancement"
ISIC_0029912,"Hair Removal, CLAHE, Denoising"
ISIC_0033539,Minimal Enhancement
ISIC_0032283,"Hair Removal, Denoising"
ISIC_0030005,"Brightness Normalization, CLAHE"
ISIC_0030189,"Hair Removal, CLAHE, Denoising"
ISIC_0026532,Brightness Correction
ISIC_0024832,"Brightness Correction, CLAHE"
ISIC_0026958,
ISIC_0030768,"Hair Removal, Brightness Correction"
ISIC_0029837,"Brightness Correction, CLAHE"
ISIC_0031624,Minimal Enhancement
ISIC_0025510,Minimal Enhancement
ISIC_0030607,Minimal Enhancement
